economy,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
CHI,30.4565425668312,30.4917013606365,30.5750453017198,30.7147995585339,30.8959988423466,31.106756489445,31.3350770753618,31.5692415250024,31.79721921014,32.0070188116634,32.1868229080383,32.326335016388,32.4414334604748,32.5432251775809,32.6275595274837,32.6907784276403,32.7426259745361,32.7853219355631,32.8125991997971,32.8235411026876,32.8247184979451,32.8148141071941,32.7920439098264,32.7554337975051
CHL,86.2710912457813,86.4906345913002,86.6114115090282,86.6792973033246,86.7336754490112,86.7768244484887,86.8125123390851,86.8445071581285,86.8765769429469,86.9124897308683,86.9560135592209,87.0109164653326,87.0824943735696,87.1827777654221,87.3133701497978,87.4653320342387,87.6306290578181,87.8000295757281,87.9620493753008,88.1273685623538,88.2953490438375,88.4660511664452,88.6395352768685,88.8158617217972
CHN,36.4320234662299,37.6597442626953,39.0897827148438,40.5302314758301,41.7600135803223,42.9899978637695,44.3430099487305,45.8892440795898,46.9895057678223,48.3417053222656,49.2340270628041,51.8300285339355,53.1003112792969,54.4900016784668,55.7502555847168,57.3297843933105,58.8399238586426,60.2402687072754,61.5001983642578,62.7099151611328,63.5234230266258,64.721076965332,65.2176361083984,65.5301448035523
CIV,43.0840065011913,43.4670149035012,43.859032147728,44.2593744150531,44.667357886658,45.082298743724,45.5035131674326,45.930317338965,46.3620274395029,46.7979596502274,47.2374301523201,47.6797551269623,48.1242507553354,48.5702332186208,49.0173144557368,49.4694894689553,49.929991034032,50.3977309654344,50.8718477756395,51.3514799771241,51.8357660823651,52.3183461956059,52.8492549676673,53.4075201638704
CMR,46.2449829402599,46.7627509050978,47.2589242513436,47.7325523560061,48.1826845960942,48.5837852394685,49.2044173412861,49.7027028593758,50.0858325268669,50.4714131335678,50.8505075371362,51.2229843034125,51.5887119982861,51.9475591877024,52.2993944376709,52.6440863142742,52.9815033836792,53.3115142121504,53.6339873660653,53.9487914119331,54.2557949164174,54.5548664463635,54.8458745688318,55.1286878511388
COD,34.9008752617485,35.4153526820763,35.937064393184,36.4654627231369,37.0,37.4018738621901,37.8024827128113,38.201781337298,38.5997245210844,38.9962670496049,39.391363708294,39.7849692825859,40.1770385579151,40.5675263197158,40.9563873534225,41.3435764444694,41.7290483782911,42.1127579403217,42.4946599159958,42.8747090907476,43.2528602500115,43.6290681792218,44.003287663813,44.3754734892194
COG,58.8947380255871,59.4417859130405,59.9716066874511,60.4694583791889,60.9205990186239,61.310286636126,61.6237792620651,61.8502563370293,62.0354815675203,62.2172294650265,62.3922871058739,62.5597508130231,62.7187169094345,62.8682817180686,63.0075415618859,63.135592763847,63.2515316469123,63.3544545340423,63.4434577481975,63.5176376123385,63.5760904494257,63.6179125824196,63.6422003342807,63.6626757615625
COL,74.3493570179247,74.7938371677676,75.192444355543,75.5341828570154,75.8080569479496,76.004938901378,76.1619191918164,76.3144038775849,76.4596761810047,76.5964145836792,76.7232975672119,76.839003613206,76.942211203265,77.0315988189922,77.1058449419909,77.1636280538646,77.2036266362166,77.2245191706503,77.2804816598084,77.4595528518377,77.6382533537045,77.8339570326128,78.0464633137335,78.275571579544
COM,28.0360512192055,27.9902886596605,27.9586267103537,27.9448864609618,27.9596300229124,28.016895208368,28.1143215973031,28.2493321448949,28.4193498063202,28.6217975367563,28.8540982913801,29.1136750253686,29.397950693899,29.7043482521482,30.0302906552932,30.3732008585112,30.7305018169792,31.0996559689293,31.4073645195839,31.7287584068243,32.0638072194881,32.4124444313246,32.7746035528748,33.1502180946901
CPV,53.9332149202283,54.7762172320995,55.5703407979481,56.3297071979641,57.0677167011018,57.7977695763157,58.5332660925599,59.287606518789,60.0741911239572,60.906420177019,61.7974262732302,62.7419929036884,63.7260454520996,64.7486207521826,65.8085112712742,66.9045094767116,68.0354078358316,69.1999988159713,70.3970748844677,71.6254285086577,72.8838521558784,74.1607930892827,75.033738060849,75.9064245753376
CRI,59.0462378975394,60.1427600448608,61.2787633575946,62.4518059303802,63.6596013546005,64.8998632216384,66.1703051228767,67.4686406496983,68.7925833934861,70.1398469456228,71.5081448974915,72.8426586679914,73.3895020668217,73.9431776192863,74.4866963181212,75.0198195767549,75.5423088085047,76.0539254265608,76.5544308439668,77.0435864735963,77.5211537281257,77.9868940200009,78.4405687613972,78.8819393641702
CSS,51.4260417104618,51.4143461829153,51.3780185932835,51.3001335734813,51.1736246779686,50.9493887735074,50.7701857397449,50.5917218872534,50.4201440786193,50.264922890817,50.1513014486905,50.1249359664817,50.1446818440705,50.1507539138984,50.1596535005104,50.1679113039414,50.1731298812102,50.1782963503998,50.095481721741,50.0613448862219,50.1148273041796,50.1235419064094,50.1314448681558,50.1020889305245
CUB,75.635383605957,75.887565612793,75.8514891112497,75.8636638735113,75.917681659226,76.0033319545493,76.1121531072403,76.2356834650585,76.365461375763,76.4930251871133,76.6099132468685,76.707663902788,76.7776920066844,76.81640625,76.8442459106445,76.8702850341797,76.9115829467773,76.9603271484375,77.0156326293945,77.0728225708008,77.1080322265625,77.0987701416016,77.1056060791016,77.1259872296321
CUW,90.8692145662905,91.060147058155,91.0970316517813,91.1278267399674,91.1534053060108,91.1746923604573,91.1926129138527,91.2080919767428,91.2220545596735,91.2354256731905,91.2491303278397,91.2639416184104,91.2791300612311,91.2938785868797,91.3082030810948,91.3220471649755,91.3353544596205,91.3480685861287,91.3601331655991,91.3714918191305,91.3820881678218,91.391865832772,91.4007684350799,91.4080929292235
CYM,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
