country,year,fertility,gdp,unemployment,education,labor_force,urbanization,region,infant_mortality
MEA,2019,3.16206943875318,5412.42875673528,8.33082967841649,57.3141708374023,20.0458350911069,54.4404080887212,Otro,19.4
MEA,2020,3.11687444065596,4742.76402632259,9.14819309323363,57.9312705993652,19.2557433194363,54.6812240122644,Otro,19.0
MEA,2021,3.07299085938902,5615.91186098726,9.00366611562493,58.5643081665039,19.5883594650344,54.8188568175474,Otro,18.6
MEA,2022,3.03344296601144,6430.53553485753,8.23898776216766,59.6928901672363,19.2038883925233,55.12536380356,Otro,18.1
MEA,2023,3.00810110726487,6149.061198935,7.79272191834479,61.6829414367676,19.7801593904483,55.4304551226559,Otro,17.8
MEX,2000,2.714,7524.0271380091,2.646,71.6285171508789,38.866,74.9203113970256,América Latina,23.7
MEX,2001,2.671,7952.76479510706,2.627,73.8780212402344,38.229,75.2907557567987,América Latina,22.7
MEX,2002,2.633,7983.03398381759,3.003,76.8405380249023,38.314,75.6840752828994,América Latina,21.7
MEX,2003,2.579,7434.0746485155,3.455,81.2989120483398,38.975,76.046170340551,América Latina,20.8
MEX,2004,2.536,7849.66759649565,3.937,82.1962890625,40.098,76.3274397419019,América Latina,20.0
MEX,2005,2.495,8671.75891885163,3.558,83.1119232177734,41.15,76.4748624380269,América Latina,19.2
MEX,2006,2.456,9512.63575346699,3.566,85.4489822387695,42.334,76.4982455683657,América Latina,18.5
MEX,2007,2.421,10134.3327138119,3.628,87.0050735473633,42.718,76.5047326234761,América Latina,17.9
MEX,2008,2.391,10523.7685403244,3.874,89.310188293457,42.568,76.5090428271033,América Latina,17.3
MEX,2009,2.364,8423.56933214711,5.356,89.4026565551758,43.08,76.5143930040295,América Latina,16.8
MEX,2010,2.34,9728.80078377082,5.303,90.5796508789062,42.946,76.5244441414713,América Latina,16.2
MEX,2011,2.317,10664.4944032313,5.175,91.5306701660156,43.413,76.5667802279537,América Latina,15.7
MEX,2012,2.294,10744.1335242686,4.892,93.8122711181641,44.48,76.6585199140734,América Latina,15.2
MEX,2013,2.269,11216.8008505428,4.921,96.0909271240234,44.48,76.7955768077952,América Latina,14.8
MEX,2014,2.211,11391.3773497683,4.819,100.276077270508,43.55,76.9741367091766,América Latina,14.3
MEX,2015,2.137,10021.2386118827,4.311,104.495323181152,43.928,77.1903854182753,América Latina,13.9
MEX,2016,2.086,9097.92397674769,3.853,106.824447631836,43.988,77.4405087351486,América Latina,13.5
MEX,2017,2.041,9649.27816772402,3.419,109.083389282227,43.627,77.7206924598541,América Latina,13.0
MEX,2018,2.03,10084.7937562021,3.275,110.51097869873,44.134,78.0271223924494,América Latina,12.6
MEX,2019,2.02,10369.5553585271,3.477,110.386650085449,45.573,78.355984332992,América Latina,12.2
MEX,2020,1.99,8841.27075039868,4.44,107.480339050293,41.704,78.677960602824,América Latina,11.8
MEX,2021,1.97,10314.0506722115,4.019,103.972526550293,44.615,78.9324007418057,América Latina,11.5
MEX,2022,1.94,11405.7940473759,3.256,104.8212890625,46.004,79.199683215791,América Latina,11.1
MEX,2023,1.91,13860.9597809326,2.765,108.700912475586,47.317,79.4734935748046,América Latina,10.8
MHL,2000,4.695,2264.79114897645,,,,68.2755984422337,Otro,33.7
MHL,2001,4.583,2394.34501105178,,,,68.6170787509313,Otro,33.8
MHL,2002,4.488,2566.06708799222,,79.4897689819336,,69.0380806209326,Otro,33.8
MHL,2003,4.418,2539.3307383954,,76.2464065551758,,69.5231265029735,Otro,33.7
MHL,2004,4.34,2566.08291015814,,79.4486923217773,,70.0567388477898,Otro,33.5
MHL,2005,4.276,2658.65217893885,,73.9568328857422,,70.6234401061174,Otro,33.3
MHL,2006,4.197,2754.26988767503,,79.8606872558594,,71.2077527286922,Otro,33.0
MHL,2007,4.09,2892.28403958874,,83.4545974731445,,71.7941991662501,Otro,32.8
MHL,2008,3.967,2817.60522775322,,88.787483215332,,72.3673018695269,Otro,32.5
MHL,2009,3.83,2906.63026970914,,86.5034713745117,,72.9115832892586,Otro,32.2
MHL,2010,3.673,3095.45768964722,,,,73.4115658761809,Otro,32.0
MHL,2011,3.527,3319.39815439151,,,,73.8553711172585,Otro,31.7
MHL,2012,3.382,3514.26515490383,,,,74.2705132518924,Otro,31.2
MHL,2013,3.247,3677.90690791421,,,,74.6790601806083,Otro,30.7
MHL,2014,3.18,3735.23977829545,,,,75.0790555372177,Otro,30.0
MHL,2015,3.131,3764.34426229508,,87.4442308455191,,75.4702568207363,Otro,29.3
MHL,2016,3.091,4229.80988911945,,89.3410865372435,,75.8524215301796,Otro,28.7
MHL,2017,3.064,4592.83457628576,,,,76.2253071645634,Otro,27.9
MHL,2018,3.038,4858.12079054875,,,,76.5886712229035,Otro,27.2
MHL,2019,3.012,5292.33985502306,,97.8863937516695,,76.9422712042154,Otro,26.5
MHL,2020,2.989,5661.96787336674,,99.9664626859993,,77.285864607515,Otro,25.8
MHL,2021,2.964,6315.31279603534,,101.538986827047,,77.6163157431143,Otro,25.0
MHL,2022,2.936,6455.66062185762,,88.8388208664228,,77.9855966195187,Otro,24.3
MHL,2023,2.919,6793.24495895856,,96.0382022969399,,78.3593928884282,Otro,23.5
MIC,2000,2.77301821483933,1237.10225471924,5.86482215984168,53.3627395629883,50.2197296378313,40.1811783501269,Otro,53.6819794636942
MIC,2001,2.72228096962105,1222.94251438049,6.03024850732525,54.4348182678223,50.0564715760721,40.8218041301412,Otro,52.07617417802
MIC,2002,2.68293721643397,1228.47350986789,6.22958469299709,56.3313598632812,49.8457921016583,41.5241189419648,Otro,50.2384893014314
MIC,2003,2.64779604902477,1357.07541063235,6.29719027444246,57.836181640625,49.7567076444889,42.2384690241935,Otro,48.4696106147083
